province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
NT,natural,unknown,other,other,False,183.6326003989395,0,False,-0.5914941677559898
NT,natural,unknown,monitor,monitor,False,122.31724154190054,0,False,1.2660410418731067
NT,natural,unknown,monitor,monitor,False,128.73840984535974,0,False,1.67443235722502
NT,natural,unknown,monitor,monitor,False,96.6179868384212,0,False,0.4433408085960255
NT,natural,unknown,monitor,monitor,False,109.51277266653436,0,False,-0.7855089144719057
NT,natural,unknown,monitor,monitor,False,103.68661881007208,0,False,0.4953059699605945
NT,natural,unknown,monitor,monitor,False,91.31887746990104,0,False,-0.0129005512005654
NT,natural,unknown,monitor,monitor,False,142.19632983884455,0,False,-0.0919616282432232
NT,natural,unknown,monitor,monitor,False,163.87620089145332,0,False,-1.302814270246955
NT,natural,unknown,monitor,monitor,False,174.37051752412052,0,False,-1.3627700895731674
NT,natural,unknown,monitor,monitor,False,153.62390346813686,0,False,0.3459384147993164
NT,natural,unknown,monitor,monitor,False,100.00269345924129,0,False,-0.5786320373598652
NT,natural,unknown,other,other,False,84.74548348172478,0,False,0.4611414788657188
NT,natural,unknown,other,other,False,84.41678767378419,0,False,0.4611414788657188
NT,natural,unknown,other,other,False,18.943943926136704,1,False,1.4376597717593385
NT,natural,unknown,other,other,False,0.520356692193574,5,False,-1.2480562354008746
NT,natural,unknown,other,other,False,17.367311012740505,1,False,1.1851332590355173
NT,natural,unknown,other,other,False,19.80551115523457,1,False,0.386717470431043
NT,natural,unknown,other,other,False,24.12374351619646,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,36.7217325888494,0,False,1.2822386482614532
NT,natural,unknown,other,other,False,75.87149247702611,0,False,2.448871591777337
NT,natural,unknown,other,other,False,85.37576218780542,0,False,-0.2328964825260332
NT,natural,unknown,other,other,False,60.45116859328776,0,False,0.0897654278039021
NT,natural,unknown,other,other,False,91.2464515880546,0,False,-1.0668799016670216
